part_id,color_id,part_name,part_cat_id
2437,33,Windscreen 3 x 4 x 1 1/3 with 2 Studs on Top,47.0
2446,15,Minifig Standard Helmet,27.0
2447,41,Minifig Visor For Standard Helmet,27.0
2454a,15,Brick 1 x 2 x 5 with Blocked Open Studs and Bottom Stud Holder with Asymmetric Ridges,11.0
2460,7,Tile Special 2 x 2 with Pin,15.0
2479,0,Propeller 4 Blade 5 Diameter with Rounded Ends,35.0
2486,4,Bar 1 x 8 x 2,32.0
2493b,0,Window 1 x 4 x 5 with Hollow Studs,16.0
2547,8,Shark Body,28.0
2548,8,Shark Head,28.0
2569,0,Antenna Whip 8H,32.0
2610,14,Minifig Life Jacket [Old Style],27.0
3001,7,Brick 2 x 4,11.0
3004,0,Brick 1 x 2,11.0
3006,14,Brick 2 x 10,11.0
3007,7,Brick 2 x 8,11.0
3008,15,Brick 1 x 8,11.0
30086,14,Rubber Raft,35.0
30089,0,Minifig Camera Handheld with Right-Aligned Viewfinder,27.0
3008pb034,14,Brick 1 x 8 with Coast Guard Logo and C 503 Print,2.0
30090,33,Minifig Visor - Diver's Mask,27.0
30091,15,Minifig Scuba Tank,27.0
3010,0,Brick 1 x 4,11.0
30151a,47,Brick Round 2 x 2 x 1 2/3 Dome Top [Blocked Open Stud],20.0
30162,0,Minifig Binoculars,27.0
30179,15,Door Frame 1 x 4 x 6 Type 1,16.0
30180,15,Slope 45° 10 x 2 x 2 Double,3.0
30181,1,Brick Wedged 4 x 10 with Cut Corners,6.0
30183,0,Slope Inverted 45Â° 6 x 4 Double with Recessed Center,3.0
30185c02pb01,1,Window Bay 3 x 8 x 6 with Trans-Dark Blue Glass with 5 White Stripes and Coast Guard Print,16.0
30187c01,14,Tricycle Complete Assembly with Dark Gray Chassis & White Wheels,36.0
30191,7,Minifig Stretcher Holder,27.0
30235,0,Vehicle Base 4 x 10 x 1 2/3,36.0
30237a,15,Brick Special 1 x 2 with Vertical Clip [Thick U Clip],5.0
30248,7,Helicopter Skid Rails 12 x 6,35.0
30249,15,Slope 55° 6 x 1 x 5,3.0
30250pr04,14,Cockpit 7 x 4 x 3 with Coast Guard Logo and C 502 Print,35.0
30251,33,Windscreen 5 x 4 x 3,47.0
30254,1,"Boat Hull Unitary 32 x 10 x 1 2/3, Top",35.0
30256,15,Tile Special 2 x 2 with Bar and Stud,15.0
30257,15,"Brick, Arch 1 x 6 x 6",37.0
30258pb007,15,Road Sign Clip-on 2 x 2 Square with Safe/Unsafe Water Print - Set 6435,38.0
30261px6,15,Roadsign Clip-on 2 x 2 Round with Radar Dish Print,38.0
30322,1,Antenna 8H Whip with Flag,38.0
30338,6,Palm Tree Base and Trunk 4 x 4,28.0
30339,2,"Plant, Tree Palm Leaf 4",28.0
30340,25,Minifig Flotation Ring [Life Preserver],27.0
30343c01,15,"Window 4 x 10 x 2 Roof Slope Double, Complete Assembly, Trans-Dark Blue Glass",16.0
3037,4,Slope 45° 2 x 4,3.0
3037pc0,14,"Slope 45° 2 x 4 with '268', Map Lines, Bar Gauges Print",3.0
3037pr0005,14,Slope 45° 2 x 4 with Headlight Print,3.0
3037px11,7,Slope 45° 2 x 4 with Fish and Terrain Map Print,3.0
3039pr0005,15,Slope 45° 2 x 2 with Radar Screen Print,3.0
3040b,33,Slope 45° 2 x 1 with Bottom Pin,3.0
3068bp66,15,Tile 2 x 2 with Coast Guard Shield and Stripes Print,10.0
3069bp02,7,Tile 1 x 2 with Video Tape and Reels Print,10.0
3069bp52,15,Tile 1 x 2 with Telemetry Panel Print,10.0
3127,7,"Hook, Plate, Modified 1 x 2 with Crane Hook Left",34.0
32084,15,Wedge 6 x 8 Cutout,6.0
32086,33,Windscreen 8 x 6 x 3 Wedge,47.0
3460,0,Plate 1 x 8,14.0
3626bp02,14,"Minifig Head Female Standard with Red Lips, Eyelashes Print [Blocked Open Stud]",13.0
3626bp03,14,Minifig Head Moustache Pointed with Standard Grin Print [Blocked Open Stud],13.0
3626bp06,14,Minifig Head Male Eyebrows and Headset Print [Blocked Open Stud],13.0
3626bpb0004,33,Minifig Head with Yellow and Black Fish Print [Blocked Open Stud],13.0
3626bpb0110,14,Minifig Head with Blue Sunglasses and Moustache Print [Blocked Open Stud],13.0
3794a,0,Plate Special 1 x 2 with 1 Stud without Groove (Jumper),9.0
3829c01,4,Vehicle Steering Stand 1 x 2 with Black Steering Wheel,36.0
3832,15,Plate 2 x 10,14.0
3867,2,Baseplate 16 x 16,1.0
3901,0,Minifig Hair Male,13.0
3962b,0,"Minifig Radio [Extended Handle, Compact Speaker Grille]",27.0
4079,4,Minifig Seat 2 x 2,36.0
4083,4,Bar 1 x 4 x 2 with Studs,32.0
